Aruba,Aruba,Oranjestad,[u'AWG'],Americas,Caribbean
Afghanistan,Islamic Republic of Afghanistan,Kabul,[u'AFN'],Asia,Southern Asia
Angola,Republic of Angola,Luanda,[u'AOA'],Africa,Middle Africa
Anguilla,Anguilla,The Valley,[u'XCD'],Americas,Caribbean
Aland Islands,Aland Islands,Mariehamn,[u'EUR'],Europe,Northern Europe
Albania,Republic of Albania,Tirana,[u'ALL'],Europe,Southern Europe
Andorra,Principality of Andorra,Andorra la Vella,[u'EUR'],Europe,Southern Europe
United Arab Emirates,United Arab Emirates,Abu Dhabi,[u'AED'],Asia,Western Asia
Argentina,Argentine Republic,Buenos Aires,[u'ARS'],Americas,South America
Armenia,Republic of Armenia,Yerevan,[u'AMD'],Asia,Western Asia
American Samoa,American Samoa,Pago Pago,[u'USD'],Oceania,Polynesia
Antarctica,Antarctica,,[],,
French Southern and Antarctic Lands,Territory of the French Southern and Antarctic Lands,Port-aux-Francais,[u'EUR'],,
Antigua and Barbuda,Antigua and Barbuda,Saint John's,[u'XCD'],Americas,Caribbean
Australia,Commonwealth of Australia,Canberra,[u'AUD'],Oceania,Australia and New Zealand
Austria,Republic of Austria,Vienna,[u'EUR'],Europe,Western Europe
Azerbaijan,Republic of Azerbaijan,Baku,[u'AZN'],Asia,Western Asia
Burundi,Republic of Burundi,Bujumbura,[u'BIF'],Africa,Eastern Africa
Belgium,Kingdom of Belgium,Brussels,[u'EUR'],Europe,Western Europe
Benin,Republic of Benin,Porto-Novo,[u'XOF'],Africa,Western Africa
Burkina Faso,Burkina Faso,Ouagadougou,[u'XOF'],Africa,Western Africa
Bangladesh,People's Republic of Bangladesh,Dhaka,[u'BDT'],Asia,Southern Asia
Bulgaria,Republic of Bulgaria,Sofia,[u'BGN'],Europe,Eastern Europe
Bahrain,Kingdom of Bahrain,Manama,[u'BHD'],Asia,Western Asia
Bahamas,Commonwealth of the Bahamas,Nassau,[u'BSD'],Americas,Caribbean
Bosnia and Herzegovina,Bosnia and Herzegovina,Sarajevo,[u'BAM'],Europe,Southern Europe
Saint Barthelemy,Collectivity of Saint BarthelemySaint Barthelemy,Gustavia,[u'EUR'],Americas,Caribbean
